HYBRIDS
Rogue Black 85 Hy .370,AL0096,3B2M,Graphite,TR-R,83,3.0,mid,medium,mid,$60.00 ,88
SteelFiber HLS780 Hy,AT0022,3B2M,Graphite,R,75,3.1,mid,medium,mid,$67.00 ,77
SteelFiber HLS880 Hy,AT0022,3B2M,Graphite,R,90,3.1,mid,medium,mid,$67.00 ,77
Tensei CK Blue Hy,MR0077,3B2M,Graphite,R,77,3.3,mid,medium,mid/high,$34.99 ,94
UST dhi Series Hy .370,US0083,3B2M,Graphite,R,70,4.3,low/mid,med/soft,mid/high,$25.00 ,85
Vista Pro Hy 60,FK0103,3B2M,Graphite,R,66,4.2,low/mid,medium,mid/high,$40.00 ,99
KBS MAX HL Hy 60,FS0090,3B3M,Graphite,R,60,4.0,low,med/soft,high,$74.95 ,111
Vista Pro Hy 50,FK0103,3B3M,Graphite,R,58,4.3,low,med/soft,high,$40.00 ,99
M890,MA0312,3D3M,Graphite,R,65,4.0,low,soft,high,$17.99 ,72
KBS Graphite Tour Hy 85,FS0048,3.5B2M,Graphite,R+,85,3.0,mid/high,firm,mid,$149.95 ,Web
KBS PGH Graphite Hy 75,FS0085,3.5B2M,Graphite,R+,75,3.5,mid,medium,mid,$135.00 ,112
Aldila NV Hy ,AL0089,4B1H,Graphite,S,83,2.6,mid/high,med/firm,low/mid,$40.00 ,87
GD Tour AD DI 85 Hy,GD0046,4B1H,Graphite,S,88,2.4,mid,firm,mid,$219.00 ,101
GD Tour AD Driving Iron #3 85,GD0057,4B1H,Graphite,S,89,2.4,mid,firm,mid,$109.00 ,101
GD Tour AD Driving Iron #3 95,GD0057,4B1H,Graphite,S,98,2.2,mid,firm,mid,$109.00 ,101
GD Tour AD IZ 86 Hy,GD0058,4B1H,Graphite,S,86,2.4,mid/high,stiff,low/mid,$219.00 ,101
GD Tour AD VF 85 HY,GD0064,4B1H,Graphite,S,86.5,2.5,mid/high,stiff,low/mid,$219.00 ,Web
Ventus HB Blue 70 .370,FK0105,4B1H,Graphite,S,75,2.6,mid,stiff,mid,$200.00 ,97
Ventus HB Blue 80 .370,FK0105,4B1H,Graphite,S,86,2.4,mid,stiff,mid,$200.00 ,97
GD Tour AD VF 75 Hy,GD0064,4B1M,Graphite,S,76.5,3.0,mid/high,stiff,low/mid,$219.00 ,Web
