IRONS
SteelFiber i55 .370,AT0038,2D3S,Graphite,A,56,5.4,low,soft,high,$55.00,76
HZRDUS Orange Gen 4 JR .370,TT0206,2.5B2S,Graphite,JR - Med,44,5.5,mid,med,mid,$30.00,103
Nippon Zelos 7,NP0013 / NP0014,2.5B3H,Steel,R2,73,2.9,low,soft,high,$34.00,119
Dynamic Gold 105 .355,TT0122 ,3B1H,Steel,R300,101,1.9,high,medium,low/mid,$36.99,106
Dynamic Gold 105 .370,TT0121 ,3B1H,Steel,R300,105,1.9,high,medium,low/mid,$36.99,106
Dynamic Gold 120 .355,TT0124,3B1H,Steel,R300,116,1.9,high,stiff,low,$36.99,106
KBS C-Taper .355,FS0026,3B1H,Steel,R,110,2.5,high,stiff,low,$49.95,113
KBS C-Taper .370,FS0027,3B1H,Steel,R,125,2.5,high,stiff,low,$49.95,113
KBS Tour V .355,FS0036,3B1H,Steel,R,100,2.5,mid,stiff,mid,$47.95,113
N.S. Pro Modus³ Tour 115,NP0028,3B1H,Steel,R,117.5,1.7,high,med/firm,mid,$38.00,117
N.S. Pro Modus³ Tour 120,NP0020 / NP0001,3B1H,Graphite,R,111,1.9,mid/high,stiff,low/mid,$38.00,117
N.S. Pro Modus³ Tour 125,NP0015,3B1H,Graphite,R,127.5,1.7,high,med/firm,mid,$38.00,117
Project X LZ .355,TT0117,3B1H,Steel,5.0 R,110,1.9,mid,stiff,mid,$51.99,105
SteelFiber 95cw .355,AT0015IE,3B1H,Graphite,R,95,2.5,mid,medium,mid,$60.00,76
SteelFiber 95 .370,AT0003,3B1H,Graphite,R,95,2.5,mid,medium,mid,$55.00,76
TT AMT Tour White .355,TT0126,3B1H,Steel,R300,119,1.9,high,stiff,low/mid,$39.99,108
Dynamic Gold 95 .355,TT0195,3B2H,Steel,R300,96,1.9,mid,med/soft,high,$36.99,107
Dynamic Gold 95 .370,TT0196,3B2H,Steel,R300,100,1.9,mid,med/soft,high,$36.99,107
Dynamic Gold 100 Mid .355,TT0197,3B2H,Steel,R300,106,1.9,mid,medium,mid/high,$36.99,107
Dynamic Gold 115 Mid .355,TT0198,3B2H,Steel,R300,114,1.9,mid,med/firm,mid,$36.99,107
KBS C-Taper Lite .355,FS0035,3B2H,Steel,R,105,2.5,low/mid,firm,mid/high,$54.95,113
KBS C-Taper Lite .370,FS0038,3B2H,Steel,R,108.5,2.5,low/mid,firm,mid/high,$54.95,113
KBS $-Taper .355 Black PVD,FS0049,3B2H,Steel,R,110,2.5,mid,medium,mid,$64.95,Web
KBS $-Taper .355 Chrome,FS0050,3B2H,Steel,R,110,2.5,mid,medium,mid,$64.95,113
KBS Tour .355,FS0018,3B2H,Steel,R,110,2.5,mid,medium,mid,$34.95,114
KBS Tour Cust Blk .355,FS0028,3B2H,Steel,R,110,2.5,mid,medium,mid,$59.95,Web
KBS Tour Lite 105 .370,FS0079,3B2H,Steel,R,105,2.5,low/mid,soft/med,mid/high,$39.95,114
N.S Pro 750GH neo .355,NP0030,3B2H,Steel,R,74.5,2.6,mid,soft,high,$34.00,Web
N.S. Pro 850GH neo .355,NP0029,3B2H,Steel,R,84.5,2.1,mid,medium,high,$32.50,118
N.S. Pro 950GH neo .355,NP0027,3B2H,Steel,R,94.5,1.9,high,med,high,$32.50,118
N.S. Pro 950GH neo .370,NP0026,3B2H,Steel,R,94.5,1.9,high,med,high,$32.50,118
N.S. Pro 950GH,NP0011 / NP0012,3B2H,Steel,R,94,2.0,mid,soft,mid/high,$25.50,118
N.S. Pro 1150GH ,NP0002 / NP0003,3B2H,Steel,R,111.5,1.8,mid,med/firm,mid,$25.50,118
N.S. Pro Modus³ Tour 105,NP0021 / NP0016,3B2H,Steel,R,103,1.9,high,med/firm,mid,$38.00,117
N.S. ProModus³ Tour 130,NP0009 / NP0010,3B2H,Steel,R,121,1.8,mid,soft,mid,$38.00,116
N.S. Pro 8950GH,NP0004 / NP0005,3B2H,Steel,R,97,2.0,mid,med/soft,mid/high,$25.50,118
Recoil Dart 90 .355,US0128,3B2H,Graphite,F3-R,90,2.7,mid,med/firm,mid,$60.00,83
Score LT .370,TT0100,3B2H,Steel,R,117,2.5,low/mid,med/soft,high,$12.99,109
SteelFiber 70cw .355,AT0020IE,3B2H,Graphite,R,70,3.0,low/mid,medium,mid/high,$60.00,76
SteelFiber 70 .370,AT0018,3B2H,Graphite,R,74,3.3,low/mid,medium,mid/high,$55.00,76
SteelFiber fc80 .370,AT0034I,3B2H,Graphite,F3-R,84,2.9,variable,variable,variable,$58.00,77
SteelFiber 80cw .355,AT0019IE,3B2H,Graphite,R,85,2.9,mid,medium,mid,$60.00,76
SteelFiber 80 .370,AT0004,3B2H,Graphite,R,85,2.9,mid,medium,mid,$55.00,76
Aldila NV 55 .370,AL0090,3B2M,Graphite,R,60,4.5,mid,medium,mid,$35.00,87
Aldila NV 65 .370,AL0090,3B2M,Graphite,R,64,4.1,mid,medium,mid,$35.00,87
Apollo Acculite 85 .370,AP0012,3B2M,Steel,R,96.5,3.0,low,medium,mid/high,$12.99,121
Competition Series ,US0045,3B2M,Graphite,R,77,4.7,mid,medium,mid,$25.00,85
Fuji Pro 75i .370,FK0085,3B2M,Graphite,R,76,3.0,mid,medium,mid,$45.00,99
Fuji Pro 95i .370,FK0085,3B2M,Graphite,R,95,3.0,mid,medium,mid,$45.00,99
Graftech GT 65,GW0050,3B2M,Graphite,R,67,4.0,mid,medium,mid,$19.99,73
Graftech Lite,GW1006,3B2M,Graphite,R,73,3.5,mid,medium,mid,$14.99,73
G-Tech,GD0012,3B2M,Graphite,R,80,3.5,mid,medium,mid,$24.99,101
KBS PGI Graphite 60 .370,FS0078,3B2M,Graphite,R,60,4.5,low/mid,med/soft,mid/high,$69.95,112
KBS Tour Lite 95 .355,FS0080,3B2M,Steel,R,95,3.0,low/mid,med/soft,high,$39.95,114
Kuro Kage Blk 70 2nd Gen,MR0046,3B2M,Graphite,R,75,3.5,mid,med/firm,mid,$24.99,95
Mitsubishi C6 Black 60 .370,MR0100,3B2M,Graphite,R,69,4.2,mid,med/soft,mid,$45.00,93
Mitsubishi C6 Black 70 .370,MR0100,3B2M,Graphite,R,78,4.1,mid,med/soft,mid,$45.00,93
ProLaunch Blue 80,TT0135,3B2M,Graphite,R,81,3.0,low,soft,high,$34.99,79
Rapport Core Blue Ir .370,VA0007,3B2M,Graphite,R,75,3.6,low/mid,medium,mid/high,$34.99,75
Recoil Dart 65 .355,US0136,3B2M,Graphite,F3-R,66,3.1,low,medium,mid/high,$60.00,83
Recoil Dart 75 .370,US0124,3B2M,Graphite,F3-R,72,3.9,low/mid,med/firm,mid,$50.00,83
Recoil 660 SC .370,US0110,3B2M,Graphite,F3-R,71,4.3,mid,medium,mid/high,$35.00,84
Recoil 760 ES SW IP .370,US0107,3B2M,Graphite,F3-R,68,4.1,low/mid,med/soft,mid/high,$45.00,84
Recoil 780 ES SW IP .370,US0107,3B2M,Graphite,F3-R,83,3.6,mid,medium,mid/high,$45.00,84
SteelFiber fc70 .370,AT0033I,3B2M,Graphite,F3-R,74,3.3,variable,variable,variable,$58.00,77
Steelfiber fc90cw .355,AT0030I,3B2M,Graphite,F3-R,90,3.0,variable,variable,variable,$63.00,77
Steelfiber fc90 .370,AT0029I,3B2M,Graphite,F3-R,95,3.0,variable,variable,variable,$58.00,77
TT AMT Black .355,TT0125,3B2M,Steel,R,105,2.5,low/mid,med/soft,mid/high,$39.99,108
UST dhi Series .370,US0084,3B2M,Graphite,R,68,4.2,low/mid,med/soft,mid/high,$25.00,85
Vista Pro 60i,FK0104,3B2M,Graphite,R,67,4.1,low/mid,medium,mid/high,$35.00,99
Vista Pro 70i,FK0104,3B2M,Graphite,R,74.5,3.7,mid,medium,mid,$35.00,99
Mitsubishi MMT 70 .370,MR0090,3B2S,Graphite,R,73,5.1,mid,med/firm,mid,$60.00,92
Elevate MPH 95 .370,TT0189,3B3H,Steel,R,90,2.5,low,soft,high,$27.99,109
Elevate MPH 95 .355,TT0188,3B3H,Steel,R,100,2.5,low,soft,high,$27.99,109
KBS Max 80 .370,FS0052,3B3H,Steel,R,102,2.5,low,med/soft,high,$29.95,114
KBS $-Taper Lt. .355 Chrome,FS0062 ,3B3H,Steel,R,95,2.5,low,soft,high,$69.95,113
KBS $-Taper Lt. .355 Black PVD,FS0064,3B3H,Steel,R,95,2.5,low,soft,high,$69.95,Web
KBS $-Taper Lt. .370 Chrome,FS0061 ,3B3H,Steel,R,110,2.5,low,soft,high,$69.95,113
KBS $-Taper Lt. .370 Black PVD,FS0063,3B3H,Steel,R,110,2.5,low,soft,high,$69.95,Web
KBS Tour .370,FS0019,3B3H,Steel,R,120,2.5,mid,medium,mid,$34.95,114
Multi-Step Lite,TT0186,3B3H,Steel,R,98,2.5,low,med/soft,mid,$12.99,109
Nippon Zelos 7,NP0013 / NP0014,3B3H,Steel,R,74,2.9,low,soft,high,$34.00,119
Nippon Zelos 8,NP0022 / NP0023,3B3H,Steel,R,84,2.9,low,soft,high,$34.00,119
Vector .370,TT0208,3B3H,Steel,R,85,2.5,low,soft,high,$36.99,109
Cypher 2.0 .370,TT0212,3B3M,Graphite,5.5 R,69,3.4,low,med/soft,high,$41.99,102
KBS 560 .370,FS0044,3B3M ,Steel,R,90,3.0,low,soft,high,$29.95,Web
KBS 580 .370,FS0044,3B3M ,Steel,R,95,3.0,low,soft,high,$29.95,Web
MPF Pro Series .370,MA0292,3B3M ,Graphite,R,75,4.0,low/mid,medium,mid/high,$21.99,72
Nippon Zelos 6 .355 ,NP0024,3B3M ,Steel,R,68.5,3.0,low,soft,high,$35.00,119
Nippon Zelos 6 .370,NP0025,3B3M ,Steel,R,68.5,3.0,low,soft,high,$35.00,119
TT AMT Red .355,TT0120,3B3M ,Steel,R,100,3.0,low,soft,high,$39.99,108
Vista Pro 50i,FK0104,3B3M ,Graphite,R,59,4.2,low,med/soft,high,$35.00,99
Project X .355,RP0009i,3C1H,Steel,5.0 R,110,1.9,high,stiff,low,$46.99,105
